Segmento,Modelo do Avião,Quantidade entregue,Ano de fabricação,Ano de entrega,Quantidade de Motores,Tamanho do tanque (litros),Peso do avião vazio ,Custo de combustível - AVGAS (pré pandemia),Custo de combustível AVGAS (pós pandemia),Custo de combustível - querosene ,Custo de combustível - querosene (póspandemia),Cliente,Origem,Destino,Distância (km),Autonomia (km),Parada para reabastecer,Frete (pre pandemia - AVGAS) ,Frete (pos pandemia - AVGAS),Frete - QAV,Frete (pos pandemia - QAV),Custo total AVGAs,Custo total QAV
Aviação Executiva,Legacy 650 (grande),7,2016,2017,2,22522,11106,"R$ 4,50","R$ 5,52","R$ 1,81","R$ 4,60",Binter Canarias,São José dos Campos,Espanha,8310,7223,1,"R$ 202.696,14","R$ 248.640,60","R$ 81.348,72","R$ 207.200,50","R$ 1.418.872,98","R$ 569.441,02"
Aviação Executiva,Lineage 1000 (grande),1,2016,2017,2,22522,11106,"R$ 4,50","R$ 5,52","R$ 1,81","R$ 4,60",Taca,São José dos Campos,El Salvador,6227,8334,0,"R$ 101.348,07","R$ 124.320,30","R$ 40.674,36","R$ 103.600,25","R$ 101.348,07","R$ 40.674,36"
Aviação Comercial,EMBRAER 170 (E170),1,2017,2018,2,11625,21140,"R$ 4,50","R$ 5,52","R$ 2,12","R$ 4,60",TRIP,São José dos Campos,Brasil,124,3982,0,"R$ 52.313,20","R$ 64.170,86","R$ 24.699,97","R$ 53.475,72","R$ 52.313,20","R$ 24.699,97"
Aviação Comercial,EMBRAER 175 (E175),67,2017,2018,2,11650,21810,"R$ 4,50","R$ 5,52","R$ 2,12","R$ 4,60",Airnorth,São José dos Campos,Austrália,14613,4074,3,"R$ 209.701,12","R$ 257.233,38","R$ 99.011,55","R$ 214.361,15","R$ 14.049.975,13","R$ 6.633.773,81"
Aviação Comercial,EMBRAER 190 (E190),13,2017,2018,2,16153,28080,"R$ 4,50","R$ 5,52","R$ 2,12","R$ 4,60",Kenya Airways,São José dos Campos,Quênia,9367,4537,2,"R$ 218.067,87","R$ 267.496,59","R$ 102.961,96","R$ 222.913,82","R$ 2.834.882,32","R$ 1.338.505,44"
Aviação Comercial,EMBRAER 195 (E195),5,2017,2018,2,16153,28970,"R$ 4,50","R$ 5,52","R$ 2,12","R$ 4,60",EgyptAir,São José dos Campos,Egito,9932,4260,2,"R$ 218.067,87","R$ 267.496,59","R$ 102.961,96","R$ 222.913,82","R$ 1.090.339,35","R$ 514.809,78"
Aviação Comercial,EMBRAER 190-E2 (E190-E2),4,2017,2018,2,17049,28000,"R$ 4,50","R$ 5,52","R$ 2,12","R$ 4,60",Arkia,São José dos Campos,Israel,10490,5278,1,"R$ 153.437,11","R$ 188.216,19","R$ 72.446,18","R$ 156.846,82","R$ 613.748,44","R$ 289.784,74"
Aviação Executiva,Phenom 100 (leve),11,2017,2018,2,2148,3190,"R$ 4,50","R$ 5,52","R$ 2,12","R$ 4,60",Copa,São José dos Campos,Panamá,5180,2182,2,"R$ 29.000,62","R$ 35.574,10","R$ 13.692,81","R$ 29.645,08","R$ 319.006,85","R$ 150.620,86"
Aviação Executiva,Phenom 300 (leve),53,2017,2018,2,2313,10800,"R$ 4,50","R$ 5,52","R$ 2,12","R$ 4,60",M1 Travel,São José dos Campos,Líbano,10704,3650,2,"R$ 31.219,80","R$ 38.296,29","R$ 14.740,60","R$ 31.913,57","R$ 1.654.649,44","R$ 781.251,92"
Aviação Executiva,Legacy 650 (grande),4,2017,2018,2,22522,11106,"R$ 4,50","R$ 5,52","R$ 2,12","R$ 4,60",ECC Leasing,São José dos Campos,Irlanda,9254,7223,1,"R$ 202.696,14","R$ 248.640,60","R$ 95.704,11","R$ 207.200,50","R$ 810.784,56","R$ 382.816,43"
Aviação Executiva,Legacy 450 (grande),14,2017,2018,2,22522,11106,"R$ 4,50","R$ 5,52","R$ 2,12","R$ 4,60",Augsburg,São José dos Campos,Alemanha,9923,5790,1,"R$ 202.696,14","R$ 248.640,60","R$ 95.704,11","R$ 207.200,50","R$ 2.837.745,96","R$ 1.339.857,52"
Aviação Executiva,Legacy 500 (grande),9,2017,2018,2,22522,11106,"R$ 4,50","R$ 5,52","R$ 2,12","R$ 4,60",Conviasa,São José dos Campos,Venezuela,3988,5790,0,"R$ 101.348,07","R$ 124.320,30","R$ 47.852,05","R$ 103.600,25","R$ 912.132,63","R$ 430.668,49"
Aviação Comercial,EMBRAER 175 (E175),67,2018,2019,2,11650,21810,"R$ 4,50","R$ 5,52","R$ 2,35","R$ 4,60",Air Kiribati,São José dos Campos,Quiribáti,12272,4074,3,"R$ 209.701,12","R$ 257.233,38","R$ 109.617,77","R$ 214.361,15","R$ 14.049.975,13","R$ 7.344.390,33"
